call_id,caller_age_days,calls_per_day,call_duration_sec,avg_call_duration_sec,unique_receivers_24h,receiver_block_rate,spam_reports_count,country_code_risk_score,night_call_ratio,sequential_dialing_score,graph_degree,previous_fraud_associations,reputation_score,fraud_label
CALL0000522,1882,47,843,71.1,8,29.64,2,32.99,25.71,15.76,240,7,58.29,0
CALL0000738,3521,22,285,72.5,1,17.42,7,36.74,3.36,30.92,34,5,75.89,0
CALL0000741,1058,29,700,175.7,4,18.99,7,16.91,30.13,41.44,20,3,62.1,0
CALL0000661,2820,44,851,194.7,3,9.69,4,40.18,32.16,36.7,40,3,92.27,0
CALL0000412,2600,48,333,490.3,12,12.82,0,36.86,21.79,49.13,74,5,55.76,0
CALL0000679,2047,48,368,592.7,3,25.26,5,32.72,10.32,39.66,84,5,51.78,0
CALL0000627,2096,47,346,599.0,16,15.38,5,23.16,14.71,7.55,258,0,65.8,0
CALL0000514,3135,22,306,425.0,11,9.01,1,35.97,28.91,36.66,78,4,66.51,0
CALL0000860,2211,38,546,480.2,13,16.56,4,47.41,43.71,38.06,247,3,65.8,0
CALL0000137,81,1156,69,17.1,194,65.8,94,42.62,74.87,51.63,565,18,38.92,1
CALL0000812,3565,23,425,192.2,19,29.27,5,7.09,16.59,7.9,80,7,63.31,0
CALL0000077,8,246,94,94.8,298,84.79,66,56.03,70.73,79.35,402,38,41.86,1
CALL0000637,704,33,334,261.4,4,11.22,0,15.71,2.87,15.9,268,7,94.61,0
CALL0000974,856,5,454,213.1,17,19.71,5,24.06,0.14,27.9,86,3,63.44,0
CALL0000939,3380,17,602,430.6,8,12.22,3,1.2,31.06,27.83,3,4,95.13,0
CALL0000900,2732,11,282,338.7,10,28.89,7,50.12,21.52,47.85,102,2,54.44,0
CALL0000281,297,40,832,378.6,11,27.69,7,49.27,29.9,43.47,34,6,61.3,0
CALL0000884,3615,36,56,401.2,7,9.87,6,7.54,19.78,32.74,188,5,73.85,0
CALL0000762,531,35,384,151.5,17,25.05,3,42.7,16.69,6.63,57,0,61.32,0
CALL0000320,3297,2,129,419.0,15,14.56,7,46.56,25.1,32.4,226,0,74.54,0
CALL0000550,1598,7,500,573.7,5,26.63,7,47.14,35.54,37.14,5,3,65.57,0
CALL0000175,14,379,119,67.5,247,91.97,103,67.46,98.46,93.45,867,17,44.15,1
CALL0000372,2733,34,396,544.4,4,16.82,4,3.03,12.79,41.11,67,4,77.94,0
CALL0000528,480,43,651,242.6,16,29.51,3,52.33,24.57,47.54,215,5,79.35,0
CALL0000211,1074,23,594,648.8,17,12.87,4,8.68,21.24,35.98,133,3,56.59,0
CALL0000236,1953,19,113,600.8,16,2.15,1,38.36,41.79,36.38,105,3,85.24,0
CALL0000102,95,1114,12,2.2,63,77.88,75,93.32,66.86,75.98,420,30,17.98,1
CALL0000987,2493,25,645,310.5,14,20.78,4,42.22,27.01,25.73,205,5,77.91,0
CALL0000903,1772,22,488,697.1,10,3.26,5,50.09,28.0,45.08,125,1,89.24,0
CALL0000948,558,26,569,250.1,5,26.88,2,13.47,24.98,0.12,115,3,89.35,0
CALL0000347,1520,23,166,163.8,8,3.29,5,24.93,3.11,49.61,67,1,80.71,0
CALL0000140,35,1054,94,95.0,74,33.78,56,59.41,52.7,49.81,518,18,24.21,1
CALL0000622,2579,1,234,525.5,3,6.81,6,48.61,19.45,0.44,136,5,76.19,0
CALL0000500,659,43,332,273.6,10,12.57,0,3.22,32.44,24.08,103,6,61.35,0
CALL0000371,239,18,438,353.1,1,25.58,5,3.85,42.54,8.52,90,2,83.72,0
CALL0000199,29,1411,44,44.3,269,75.47,89,50.59,57.53,43.45,636,16,41.77,1
CALL0000688,1359,38,687,423.1,2,10.5,2,49.52,25.13,10.89,133,6,51.02,0
CALL0000585,1855,15,663,407.9,9,4.93,2,15.5,22.07,18.76,250,4,61.98,0
CALL0000902,2372,10,832,617.9,15,5.6,6,4.88,1.82,48.11,229,4,58.3,0
CALL0000060,39,983,54,35.7,71,60.3,104,70.69,66.59,53.84,869,13,2.37,1
CALL0000329,1777,23,295,421.1,16,1.95,7,24.33,27.87,19.76,35,5,57.33,0
CALL0000097,34,1427,90,38.1,256,40.34,103,55.28,44.51,62.16,729,22,1.94,1
CALL0000313,1949,40,102,263.4,15,22.25,0,51.13,19.52,1.7,140,3,84.33,0
CALL0000975,2860,27,600,128.3,12,16.16,1,7.95,36.48,39.39,275,4,79.47,0
CALL0000300,2524,35,432,596.1,10,16.79,3,46.16,40.49,6.9,251,5,73.44,0
CALL0000278,1280,15,807,572.5,5,18.55,4,35.79,12.0,30.32,146,6,59.38,0
CALL0000925,3340,1,738,235.0,9,6.43,4,26.14,21.76,46.61,93,5,68.81,0
CALL0000602,860,17,441,77.2,8,18.14,0,13.97,31.73,48.14,196,5,82.9,0
CALL0000440,3548,21,324,509.1,18,11.68,0,24.79,41.97,45.43,120,6,63.14,0
CALL0000838,2807,36,466,416.5,14,10.72,7,52.93,9.5,29.53,146,2,69.17,0
CALL0000571,1877,25,514,315.0,2,15.36,7,46.45,25.85,11.76,94,5,80.3,0
CALL0000880,1657,27,211,512.9,2,0.62,1,9.61,2.63,32.07,209,0,97.58,0
CALL0000262,3201,47,351,201.1,7,20.04,4,44.12,24.83,17.79,47,7,71.3,0
CALL0000579,1931,41,443,125.6,11,17.17,5,48.97,12.16,48.19,85,6,86.38,0
CALL0000024,108,809,60,37.8,254,53.23,95,97.85,40.97,66.34,135,19,53.9,1
CALL0000031,33,1497,8,75.7,298,77.02,70,74.71,50.59,53.64,747,33,18.6,1
CALL0000618,1231,31,170,539.1,14,17.34,1,50.68,23.78,11.88,48,6,90.41,0
CALL0000011,87,1151,43,28.9,334,42.91,52,58.56,88.82,79.49,852,37,42.31,1
CALL0000222,1371,4,88,478.4,4,29.32,4,33.05,8.82,22.83,245,3,75.92,0
CALL0000821,2320,19,91,653.8,19,13.23,1,3.96,31.78,21.23,152,3,70.1,0
CALL0000297,1159,31,582,610.4,13,19.78,5,30.69,5.48,21.11,143,5,56.27,0
CALL0000055,101,222,49,49.9,326,66.09,60,73.77,40.99,83.24,441,16,36.09,1
CALL0000543,1179,42,454,425.5,8,0.41,4,5.32,19.42,49.41,169,1,59.29,0
CALL0000210,2497,24,155,230.1,4,28.72,4,4.02,29.76,5.24,197,7,66.05,0
